startup,industry,funding_stage,amount_usd,description,year_found,founders,investors,funding_year,city,state,country
PregBuddy,IT & Technology,Early Traction,3000000.0,PregBuddy is a smart connected care platform for expecting mothers.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
AgNext Technologies,Agriculture,Scaling,3000000.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2017.0,Not recorded,Not recorded,2018,Sahibzada Ajit Singh Nagar,Punjab,India
Pando,Transportation & Logistics,Early Traction,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
Mintifi,Financial Services,Early Traction,2000000.0,Online lending startup based in Mumbai.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Carcrew,Manufacturing,Early Traction,2000000.0,India's Online Auto Repair Marketplace,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
NicheAI,IT & Technology,Validation,3000000.0,Early stage Artificial Intelligence (AI) start up.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Chariot Tech,IT & Technology,Early Traction,292000.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Ideal Insurance Brokers/ 121Policy.com,Financial Services,Early Traction,1000000.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2017.0,Not recorded,Not recorded,2018,Kolkata,West Bengal,India
Loanzen,Financial Services,Early Traction,3000000.0,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Mojro Technologies,IT & Technology,Early Traction,650000.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Elemential,IT & Technology,Early Traction,1000000.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Loadshare,Manufacturing,Scaling,5000000.0,LoadShare is India’s fastest growing logistics company,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Yumlane,Consumer Goods,Scaling,4000000.0,Food startup Yumlane operated by QwikPik Technology,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Kriger Campus,Online Retail,Early Traction,438000.0,A Education Start Up.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Pipa+Bella,Online Retail,Scaling,1000000.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Kaleidofin,Financial Services,Early Traction,2800000.0,A fintech platform.,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
Chakr Innovation,IT & Technology,Early Traction,3000000.0,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
IndigoLearn,Online Retail,Early Traction,150000.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
UClean,IT & Technology,Early Traction,584000.0,UClean is a tech enabled laundry service provider.,2017.0,Not recorded,Not recorded,2018,Not Recorded,Not Recorded,India
Coutloot,Online Retail,Early Traction,1000000.0,The Fashion Re-commerce platform.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Letstrack,IT & Technology,Early Traction,1700000.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Pooltoo,Transportation & Logistics,Early Traction,3000000.0,Pooltoo offers a premium ride sharing platform.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Finzy,Financial Services,Early Traction,1300000.0,finzy is the premier peer to peer lending solution in India.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Fitternity,Sports,Early Traction,2000000.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Keito,IT & Technology,Early Traction,3000000.0,Building an Intelligent Digital Assistant.,2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
Tolet for Students,Healthcare & Life Sciences,Early Traction,73000.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2017.0,Not recorded,Not recorded,2018,Jodhpur,Rajasthan,India
Chai Kings,Consumer Goods,Early Traction,292000.0,Chai Kings is a tea retail chain,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
Dainik Jagran,Media & Entertainment,Early Traction,584000.0,Dainik Jagran is a media and communications group.,2017.0,Not recorded,Not recorded,2018,Kanpur,Uttar Pradesh,India
Playtoome,Media & Entertainment,Early Traction,292000.0,Playtoome is a live entertainment destination,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
ONGO Framework,Business Services,Validation,1000000.0,ONGO Framework is a B2B IT and digital solution provider.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Notesgen,IT & Technology,Early Traction,182500.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Arogya MedTech,Healthcare & Life Sciences,Early Traction,219000.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2017.0,Not recorded,Not recorded,2018,Kolkata,West Bengal,India
Propshop24,Online Retail,Early Traction,500000.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
myUpchar,Healthcare & Life Sciences,Scaling,5000000.0,To bring health issues to people in their language.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
MissMalini Entertainment,Media & Entertainment,Early Traction,1518400.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Rooter,Sports,Early Traction,657000.0,Rooter is a mobile-based platform,2017.0,Not recorded,Not recorded,2018,Not Recorded,Not Recorded,India
ZestMoney,IT & Technology,Scaling,13400000.0,Zest is India's first completely automated consumer digital lending platform.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
alphaics Corporation,IT & Technology,Early Traction,3000000.0,Advancing AI compute,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
MyDentistChoice,Healthcare & Life Sciences,Early Traction,500000.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Sattviko,Consumer Goods,Validation,3000000.0,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Sensibull,Financial Services,Early Traction,365000.0,Investment Management Platform,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Bombay Shaving Company,Consumer Goods,Scaling,3000000.0,Bombay Shaving Company is a Men's grooming startup,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
MedCords,Healthcare & Life Sciences,Early Traction,385440.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
University Living,Online Retail,Early Traction,3000000.0,University Living is an online global student housing marketplace.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
&ME,Consumer Goods,Early Traction,3000000.0,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Enakshi,Consumer Goods,Early Traction,116800.0,Enakshi is an online apparel brand for women.,2017.0,Not recorded,Not recorded,2018,Ahmedabad,Gujarat,India
Ultraviolette Automotive,Manufacturing,Scaling,876.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Inthree Access,Business Services,Scaling,4000000.0,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
BUGWORKS Research India,IT & Technology,Scaling,9000000.0,BUGWORKS is a drug discovery company.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Guardian.in,Healthcare & Life Sciences,Early Traction,3000000.0,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
PrestLoans,Financial Services,Early Traction,100000.0,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Wimoxez,IT & Technology,Early Traction,20000.0,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
India Accelerator,IT & Technology,Validation,3000000.0,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
HappyEMI,Consumer Goods,Early Traction,1000000.0,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Wishup,IT & Technology,Early Traction,3000000.0,Premium Personal Assistance service,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Hansel.io,IT & Technology,Scaling,4000000.0,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Propelld,Online Retail,Early Traction,250000.0,Propelld is a student education financing platform.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
PivotRoots,Media & Entertainment,Scaling,3000000.0,Digital Marketing powered by Data & Technology; fueled by Design thinking,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
ZiffyHomes,Online Retail,Early Traction,120000.0,ZiffyHomes is a technology driven marketplace to find out home on rent.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Carmesi,Healthcare & Life Sciences,Early Traction,496400.0,Carmesi is a brand of high-end menstrual-hygiene products in India.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
OckyPocky,Online Retail,Validation,3000000.0,OckyPocky is a interactive and personalised language learning app for preschool kids.,2017.0,Not recorded,Not recorded,2018,Haryana,Haryana,India
Racetrack,IT & Technology,Early Traction,4993200.0,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
WHR,Healthcare & Life Sciences,Early Traction,143145.0,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
Asteria Aerospace,Manufacturing,Early Traction,3000000.0,Asteria Aerospace is a robotics and artificial intelligence company.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
FabAlley,Online Retail,Scaling,8760000.0,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2017.0,Not recorded,Not recorded,2018,Noida,Uttar Pradesh,India
Tranzmeo,IT & Technology,Validation,3000000.0,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2017.0,Not recorded,Not recorded,2018,Kochi,Kerala,India
SBI Life,Financial Services,Scaling,742000000.0,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Studds Accessories,Online Retail,Scaling,14600000.0,Studds Accessories is a scooter accessories service provider in India,2017.0,Not recorded,Not recorded,2018,Faridabad,Haryana,India
Design Cafe,Consumer Goods,Scaling,29200000.0,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
NoPaperForms Solutions Pvt. Ltd.,IT & Technology,Scaling,3980000.0,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Rays Power Infra,IT & Technology,Scaling,29200000.0,Rays Power Infra is a leading integrated Solar Power Company.,2017.0,Not recorded,Not recorded,2018,Jaipur,Rajasthan,India
AuthMetrik,Business Services,Validation,10000.0,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Khidki,IT & Technology,Early Traction,3000000.0,Vernacular Social Network Focused on Town Level Content and Interactions,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
LetsTransport,Transportation & Logistics,Scaling,14600000.0,Lets transport is a logistics solution provider.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Next Digital Solutions,Media & Entertainment,Validation,1460.0,Next Digital Solutions is website design & Digital Marketing development company.,2017.0,Not recorded,Not recorded,2018,Kota,Rajasthan,India
Portea Medical,Healthcare & Life Sciences,Exit Options,3650000.0,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Aavas Financiers,Financial Services,Exit Options,29200000.0,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2017.0,Not recorded,Not recorded,2018,Jaipur,Rajasthan,India
Swiggy,Transportation & Logistics,Scaling,1000000000.0,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Milkbasket,Online Retail,Scaling,7000000.0,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2017.0,Not recorded,Not recorded,2018,Haryana,Haryana,India
Nutrisattva (Proliva),Sports,Validation,3000000.0,Nutrisattva is a protein innovation compan,2017.0,Not recorded,Not recorded,2018,Anand,Gujarat,India
Toppr,IT & Technology,Scaling,35000000.0,Toppr.com is an online preparation platform for entrance exams in India.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Jagaran Microfin,Financial Services,Exit Options,8030000.0,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2017.0,Not recorded,Not recorded,2018,Kolkata,West Bengal,India
Vivriti Capital,Financial Services,Scaling,28500000.0,Vivriti Capital is an online platform for institutional debt in India.,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
Be U Salons,IT & Technology,Early Traction,438000.0,Be U is India's first subscription based Salon Chain.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Impact Guru,Business Services,Scaling,2000000.0,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
MobiKwik,Financial Services,Scaling,3504000.0,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Stones2Milestones,Online Retail,Early Traction,3000000.0,Stones2milestones is a Gurgaon Based Learning Company.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Generico,Healthcare & Life Sciences,Scaling,3000000.0,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Adiuvo Diagnostics,Healthcare & Life Sciences,Early Traction,3000000.0,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
DataTrained,IT & Technology,Early Traction,1752000.0,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
OneAssist,Financial Services,Exit Options,2400000.0,OneAssist is a protection & assistance services platform.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Satin Creditcare Network Limited (SCNL),Financial Services,Exit Options,30000000.0,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
APAC Financial Services,Financial Services,Scaling,36500000.0,APAC Financial Services is a financial services platform.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Moglix,Business Services,Scaling,23000000.0,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2017.0,Not recorded,Not recorded,2018,Noida,Uttar Pradesh,India
SEDEMAC Mechatronics,Manufacturing,Scaling,3000000.0,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
MadGuy Labs,Online Retail,Scaling,150000.0,MadGuy Labs is a Online Test-prep Platform.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Dee Dee Labs,IT & Technology,Early Traction,3000000.0,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
FLEECA,Consumer Goods,Early Traction,3000000.0,FLEECA is a Tyre Care Provider company.,2017.0,Not recorded,Not recorded,2018,Jaipur,Rajasthan,India
Shop101,IT & Technology,Scaling,11000000.0,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
FeedMyPockets,Media & Entertainment,Early Traction,642400.0,On Demand Staffing Platform,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Housejoy,Consumer Goods,Scaling,3240000.0,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Ambee,Healthcare & Life Sciences,Validation,3000000.0,Ambee is an Environment analytics startup.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
FoodBuddy,Transportation & Logistics,Early Traction,876000.0,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2017.0,Not recorded,Not recorded,2018,Belagavi,Karnataka,India
Ninjacart,IT & Technology,Scaling,36500000.0,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Olly Smart Credit Card,Financial Services,Early Traction,3000000.0,Olly is a digital credit card for India's working masses and young people.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Zestl,IT & Technology,Early Traction,3000000.0,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
BYJU’S,IT & Technology,Scaling,540000000.0,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Wakefit,Online Retail,Scaling,9490000.0,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Hero Electric,Online Retail,Scaling,23360000.0,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Pentation Analytics,IT & Technology,Early Traction,3000000.0,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
PerkFinance,Financial Services,Early Traction,900000.0,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Roposo,IT & Technology,Scaling,10000000.0,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Plum Goodness,Consumer Goods,Scaling,3000000.0,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2017.0,Not recorded,Not recorded,2018,Thane,Maharashtra,India
Drstore,Healthcare & Life Sciences,Early Traction,3000000.0,Drstore is a exclusive e- commerce platform.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Wow Venue,Travel & Tourism,Scaling,1500000.0,Wow Venue is an online platform.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Chizel,IT & Technology,Early Traction,3000000.0,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
OTO Capital,Manufacturing,Early Traction,730000.0,OTO Capital is a platform that allows you to own a car faster than ever.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Boodmo,Manufacturing,Early Traction,1022000.0,boodmo.com - large online marketplace for auto parts in India.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Khabri,IT & Technology,Early Traction,3000000.0,Khabri is a digital audio platform for content in vernacular.,2017.0,Not recorded,Not recorded,2018,Haryana,Haryana,India
MyNewCar.in,Manufacturing,Scaling,1000000.0,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
HalaPlay Technologies,Media & Entertainment,Scaling,5000000.0,A daily fantasy sports platform.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
PlanetSpark,Online Retail,Early Traction,233600.0,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
WheelsEMI,Financial Services,Scaling,14000000.0,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2017.0,Not recorded,Not recorded,2018,Pune,Maharashtra,India
Forum for Innovation Incubation Research and Entrepreneurship,Financial Services,Validation,1496500.0,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2017.0,Not recorded,Not recorded,2018,Madgaon,Goa,India
OYO,Healthcare & Life Sciences,Scaling,100000000.0,OYO is an Indian hospitality startup that operates a network of budget hotels.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
Quikr,Media & Entertainment,Exit Options,8030000.0,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Tabono,Sports,Early Traction,3000000.0,Tabono is a one stop environment for all your fitness solution.,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
LearnApp,Financial Services,Early Traction,292000.0,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2017.0,Not recorded,Not recorded,2018,Noida,Uttar Pradesh,India
Shopkirana,Online Retail,Scaling,2000000.0,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2017.0,Not recorded,Not recorded,2018,Indore,Madhya Pradesh,India
